rank,confirmationScore,source,code,name,sector,price,status,action,buyGuard,blockers,nextStep,checklist,note
25,168.5,昇格候補,6310,"ISEKI & CO.,LTD.",Machinery,1787,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
26,167.2,昇格候補,281A,"Informetis Co.,Ltd.",Information & Communication,637,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
27,167.1,昇格候補,4651,SANIX HOLDINGS INCORPORATED,Services,221,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
28,166.5,昇格候補,7734,"RIKEN KEIKI CO.,LTD.",Precision Instruments,3595,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
29,166.3,昇格候補,4256,"CYND Co.,Ltd.",Information & Communication,939,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
30,165,昇格候補,4351,YAMADA SERVICER SYNTHETIC OFFICE,Other Financing Business,946,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
31,165,昇格候補,7513,"Kojima Co.,Ltd.",Retail Trade,1272,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
32,164.5,昇格候補,4310,Dream Incubator Inc.,Services,2585,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
33,164.3,昇格候補,3908,Collabos Corporation,Information & Communication,316,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
34,164.1,昇格候補,1515,"Nittetsu Mining Co.,Ltd.",Mining,2484,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
35,163.9,昇格候補,6648,KAWADEN CORPORATION,Electric Appliances,1819,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
36,163.8,昇格候補,4679,"TAYA Co.,Ltd.",Services,247,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
37,163.5,昇格候補,6643,"Togami Electric Mfg.Co.,Ltd.",Electric Appliances,5220,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
38,163.1,昇格候補,7781,"HIRAYAMA HOLDINGS Co.,Ltd.",Precision Instruments,1536,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
39,163,昇格候補,9010,"FUJI KYUKO CO.,LTD.",Land Transportation,2493,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
40,159.7,昇格候補,6993,"Daikokuya Holdings Co.,Ltd.",Retail Trade,91,確認してから判断,通常候補へ入れる前に注意点を確認,確認完了まで買わない,急騰後,材料、過熱感、下落理由を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
41,150,未発掘下書き,3964,AUCNET INC.,Information & Communication,1367,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,財務確認前,有報と決算短信で仮置きを実数へ置き換える,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,未発掘下書き。今すぐ財務確認。価格上は上昇中の押し目に近いです。買う前に財務と材料をすぐ確認します。確認前: BPS/EPS/現金/有利子負債/発行株数/直近決算
42,150,未発掘下書き,9075,"FUKUYAMA TRANSPORTING CO.,LTD.",Land Transportation,6040,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,財務確認前,有報と決算短信で仮置きを実数へ置き換える,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,未発掘下書き。今すぐ財務確認。価格上は上昇中の押し目に近いです。買う前に財務と材料をすぐ確認します。確認前: BPS/EPS/現金/有利子負債/発行株数/直近決算
43,150,未発掘下書き,6315,TOWA CORPORATION,Machinery,3155,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,財務確認前,有報と決算短信で仮置きを実数へ置き換える,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,未発掘下書き。今すぐ財務確認。価格上は上昇中の押し目に近いです。買う前に財務と材料をすぐ確認します。確認前: BPS/EPS/現金/有利子負債/発行株数/直近決算
44,150,未発掘下書き,6861,KEYENCE CORPORATION,Electric Appliances,75680,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,財務確認前,有報と決算短信で仮置きを実数へ置き換える,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,未発掘下書き。今すぐ財務確認。価格上は上昇中の押し目に近いです。買う前に財務と材料をすぐ確認します。確認前: BPS/EPS/現金/有利子負債/発行株数/直近決算
45,150,未発掘下書き,3941,"Rengo Co.,Ltd.",Pulp and Paper,1404.5,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,財務確認前,有報と決算短信で仮置きを実数へ置き換える,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,未発掘下書き。今すぐ財務確認。価格上は上昇中の押し目に近いです。買う前に財務と材料をすぐ確認します。確認前: BPS/EPS/現金/有利子負債/発行株数/直近決算
46,126,通常候補,1443,技研HD,建設,210,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,有報確認待ち / 一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,ネットキャッシュ
47,108,通常候補,6505,東洋電機製造,電機,1180,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,業績回復
48,108,通常候補,3123,サイボー,繊維・不動産,625,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,有報確認待ち,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,含み資産
49,108,通常候補,2484,出前館,サービス,135,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,有報確認待ち,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,ネットキャッシュ
50,108,通常候補,9672,東京都競馬,不動産・レジャー,5850,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,事業用不動産
51,108,通常候補,8830,住友不動産,不動産,6200,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,賃貸等不動産
52,108,通常候補,8801,三井不動産,不動産,1640,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,含み資産
53,108,通常候補,9830,トラスコ中山,卸売,2500,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,投資有価証券
54,108,通常候補,3471,三井不動産ロジスティクスパーク投資法人,REIT,455000,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,物流不動産
55,108,通常候補,8018,三共生興,卸売,820,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,投資有価証券
56,108,通常候補,6513,オリジン,電機,1280,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,ネットキャッシュ
57,108,通常候補,9409,テレビ朝日HD,情報通信,2450,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,都心不動産
58,108,通常候補,9402,中部日本放送,情報通信,780,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,不動産含み益
59,108,通常候補,9324,安田倉庫,倉庫,1450,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,倉庫不動産
60,108,通常候補,8818,京阪神ビルディング,不動産,1780,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,賃貸等不動産
61,108,通常候補,3892,岡山製紙,紙・パルプ,1380,通常候補の再確認,既存候補の財務データを確認,不明点が残るなら買わない,一部手入力,仮置きや手入力を有報・決算短信で更新,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,ネットキャッシュ
