code,name,market,sector,price,bps,eps,cash,securities,investmentSecurities,interestDebt,netAssets,rentalBook,rentalMarket,shares,treasuryShares,asOf,confidence,source,monthlyHistoryCount,priceScore,reason
367A,プリモグローバルホールディングス,スタンダード（内国株式）,小売業,2950,3933.33,245.83,7867,0,0,5900,39333,0,0,10000000,0,completionEstimate,補完,priceEstimate,14,41.4,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3680,ホットリンク,グロース（内国株式）,情報・通信業,219,292,18.25,584,0,0,438,2920,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,22,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3681,ブイキューブ,プライム（内国株式）,情報・通信業,9,12,0.75,24,0,0,18,120,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,51.9,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3774,インターネットイニシアティブ,プライム（内国株式）,情報・通信業,3502,4669.33,291.83,9339,0,0,7004,46693,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,48.9,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3989,シェアリングテクノロジー,グロース（内国株式）,情報・通信業,995,1326.67,82.92,2653,0,0,1990,13267,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
407A,ＵＮＩＣＯＮホールディングス,スタンダード（内国株式）,建設業,879,1172,73.25,2344,0,0,1758,11720,0,0,10000000,0,completionEstimate,補完,unavailable,11,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
414A,オーバーラップホールディングス,グロース（内国株式）,情報・通信業,899,1198.67,74.92,2397,0,0,1798,11987,0,0,10000000,0,completionEstimate,補完,unavailable,10,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,プライム（内国株式）,情報・通信業,720,960,60,1920,0,0,1440,9600,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4260,ハイブリッドテクノロジーズ,グロース（内国株式）,情報・通信業,241,321.33,20.08,643,0,0,482,3213,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
428A,サイプレス・ホールディングス,スタンダード（内国株式）,小売業,1226,1634.67,102.17,3269,0,0,2452,16347,0,0,10000000,0,completionEstimate,補完,unavailable,10,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4293,セプテーニ・ホールディングス,スタンダード（内国株式）,サービス業,455,606.67,37.92,1213,0,0,910,6067,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
429A,テクセンドフォトマスク,プライム（内国株式）,その他製品,4165,5553.33,347.08,11107,0,0,8330,55533,0,0,10000000,0,completionEstimate,補完,unavailable,10,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4324,電通グループ,プライム（内国株式）,サービス業,3053,4070.67,254.42,8141,0,0,6106,40707,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
436A,サイバーソリューションズ,グロース（内国株式）,情報・通信業,944,1258.67,78.67,2517,0,0,1888,12587,0,0,10000000,0,completionEstimate,補完,unavailable,10,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4373,シンプレクス・ホールディングス,プライム（内国株式）,情報・通信業,911,1214.67,75.92,2429,0,0,1822,12147,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4381,ビープラッツ,グロース（内国株式）,情報・通信業,187,249.33,15.58,499,0,0,374,2493,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4432,ウイングアーク１ｓｔ,プライム（内国株式）,情報・通信業,2255,3006.67,187.92,6013,0,0,4510,30067,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4452,花王,プライム（内国株式）,化学,6544,8725.33,545.33,17451,0,0,13088,87253,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4483,ＪＭＤＣ,プライム（内国株式）,情報・通信業,2771,3694.67,230.92,7389,0,0,5542,36947,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4494,バリオセキュア,スタンダード（内国株式）,情報・通信業,680,906.67,56.67,1813,0,0,1360,9067,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4502,武田薬品工業,プライム（内国株式）,医薬品,5087,6782.67,423.92,13565,0,0,10174,67827,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4503,アステラス製薬,プライム（内国株式）,医薬品,2145,2860,178.75,5720,0,0,4290,28600,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4519,中外製薬,プライム（内国株式）,医薬品,7434,9912,619.5,19824,0,0,14868,99120,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4523,エーザイ,プライム（内国株式）,医薬品,3991,5321.33,332.58,10643,0,0,7982,53213,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4528,小野薬品工業,プライム（内国株式）,医薬品,2377.5,3170,198.13,6340,0,0,4755,31700,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4536,参天製薬,プライム（内国株式）,医薬品,2128.5,2838,177.38,5676,0,0,4257,28380,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4565,ネクセラファーマ,プライム（内国株式）,医薬品,954,1272,79.5,2544,0,0,1908,12720,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4568,第一三共,プライム（内国株式）,医薬品,2535.5,3380.67,211.29,6761,0,0,5071,33807,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4572,カルナバイオサイエンス,グロース（内国株式）,医薬品,314,418.67,26.17,837,0,0,628,4187,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4578,大塚ホールディングス,プライム（内国株式）,医薬品,10895,14526.67,907.92,29053,0,0,21790,145267,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4582,シンバイオ製薬,グロース（内国株式）,医薬品,68,90.67,5.67,181,0,0,136,907,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4593,ヘリオス,グロース（内国株式）,医薬品,246,328,20.5,656,0,0,492,3280,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4596,窪田製薬ホールディングス,グロース（内国株式）,医薬品,56,74.67,4.67,149,0,0,112,747,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4597,ソレイジア・ファーマ,グロース（内国株式）,医薬品,24,32,2,64,0,0,48,320,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
463A,インテリックスホールディングス,スタンダード（内国株式）,不動産業,859,1145.33,71.58,2291,0,0,1718,11453,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
464A,ＱＰＳホールディングス,グロース（内国株式）,情報・通信業,1866,2488,155.5,4976,0,0,3732,24880,0,0,10000000,0,completionEstimate,補完,unavailable,32,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4689,ＬＩＮＥヤフー,プライム（内国株式）,情報・通信業,410,546.67,34.17,1093,0,0,820,5467,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
471A,ＮＳグループ,プライム（内国株式）,その他金融業,1470,1960,122.5,3920,0,0,2940,19600,0,0,10000000,0,completionEstimate,補完,unavailable,8,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4755,楽天グループ,プライム（内国株式）,サービス業,690.2,920.27,57.52,1841,0,0,1380,9203,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4845,スカラ,スタンダード（内国株式）,情報・通信業,333,444,27.75,888,0,0,666,4440,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4887,サワイグループホールディングス,プライム（内国株式）,医薬品,1626,2168,135.5,4336,0,0,3252,21680,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4901,富士フイルムホールディングス,プライム（内国株式）,化学,3436,4581.33,286.33,9163,0,0,6872,45813,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
4902,コニカミノルタ,プライム（内国株式）,電気機器,564.7,752.93,47.06,1506,0,0,1129,7529,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5020,ＥＮＥＯＳホールディングス,プライム（内国株式）,石油・石炭製品,1214.5,1619.33,101.21,3239,0,0,2429,16193,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,グロース（内国株式）,情報・通信業,414,552,34.5,1104,0,0,828,5520,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
504A,イノバセル,グロース（内国株式）,医薬品,385,513.33,32.08,1027,0,0,770,5133,0,0,10000000,0,completionEstimate,補完,completionEstimate,6,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5076,インフロニア・ホールディングス,プライム（内国株式）,建設業,2711,3614.67,225.92,7229,0,0,5422,36147,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5110,住友ゴム工業,プライム（内国株式）,ゴム製品,2175.5,2900.67,181.29,5801,0,0,4351,29007,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5201,ＡＧＣ,プライム（内国株式）,ガラス・土石製品,7146,9528,595.5,19056,0,0,14292,95280,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5202,日本板硝子,プライム（内国株式）,ガラス・土石製品,479,638.67,39.92,1277,0,0,958,6387,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
523A,セイワホールディングス,グロース（内国株式）,金属製品,1758,2344,146.5,4688,0,0,3516,23440,0,0,10000000,0,completionEstimate,補完,completionEstimate,6,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5255,モンスターラボ,グロース（内国株式）,情報・通信業,72,96,6,192,0,0,144,960,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
547A,ムニノバホールディングス,プライム（内国株式）,その他金融業,433,577.33,36.08,1155,0,0,866,5773,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5842,インテグラル,グロース（内国株式）,証券、商品先物取引業,2814,3752,234.5,7504,0,0,5628,37520,0,0,10000000,0,completionEstimate,補完,unavailable,35,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5857,ＡＲＥホールディングス,プライム（内国株式）,非鉄金属,2915,3886.67,242.92,7773,0,0,5830,38867,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,小売業,2189,2918.67,182.42,5837,0,0,4378,29187,0,0,10000000,0,completionEstimate,補完,unavailable,33,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
5938,ＬＩＸＩＬ,プライム（内国株式）,金属製品,1771,2361.33,147.58,4723,0,0,3542,23613,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6034,ＭＲＴ,グロース（内国株式）,サービス業,625,833.33,52.08,1667,0,0,1250,8333,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6085,アーキテクツ・スタジオ・ジャパン,グロース（内国株式）,サービス業,302,402.67,25.17,805,0,0,604,4027,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6141,ＤＭＧ森精機,プライム（内国株式）,機械,3516,4688,293,9376,0,0,7032,46880,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6183,ベルシステム２４ホールディングス,プライム（内国株式）,サービス業,1335,1780,111.25,3560,0,0,2670,17800,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6191,エアトリ,プライム（内国株式）,サービス業,748,997.33,62.33,1995,0,0,1496,9973,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6301,小松製作所,プライム（内国株式）,機械,6329,8438.67,527.42,16877,0,0,12658,84387,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6305,日立建機,プライム（内国株式）,機械,5347,7129.33,445.58,14259,0,0,10694,71293,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6464,ツバキ・ナカシマ,プライム（内国株式）,機械,392,522.67,32.67,1045,0,0,784,5227,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6471,日本精工,プライム（内国株式）,機械,1161,1548,96.75,3096,0,0,2322,15480,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6501,日立製作所,プライム（内国株式）,電気機器,4478,5970.67,373.17,11941,0,0,8956,59707,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6503,三菱電機,プライム（内国株式）,電気機器,5858,7810.67,488.17,15621,0,0,11716,78107,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6523,ＰＨＣホールディングス,プライム（内国株式）,電気機器,1012,1349.33,84.33,2699,0,0,2024,13493,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム（内国株式）,電気機器,9980,13306.67,831.67,26613,0,0,19960,133067,0,0,10000000,0,completionEstimate,補完,unavailable,34,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6532,ベイカレント,プライム（内国株式）,サービス業,5531,7374.67,460.92,14749,0,0,11062,73747,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,スタンダード（内国株式）,サービス業,418,557.33,34.83,1115,0,0,836,5573,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6571,キュービーネットホールディングス,プライム（内国株式）,サービス業,1243,1657.33,103.58,3315,0,0,2486,16573,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6574,コンヴァノ,グロース（内国株式）,サービス業,84,112,7,224,0,0,168,1120,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6586,マキタ,プライム（内国株式）,機械,5813,7750.67,484.42,15501,0,0,11626,77507,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6594,ニデック,プライム（内国株式）,電気機器,2543,3390.67,211.92,6781,0,0,5086,33907,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6645,オムロン,プライム（内国株式）,電気機器,5612,7482.67,467.67,14965,0,0,11224,74827,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6702,富士通,プライム（内国株式）,電気機器,3199,4265.33,266.58,8531,0,0,6398,42653,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6724,セイコーエプソン,プライム（内国株式）,電気機器,2691.5,3588.67,224.29,7177,0,0,5383,35887,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6740,ジャパンディスプレイ,プライム（内国株式）,電気機器,60,80,5,160,0,0,120,800,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6752,パナソニック　ホールディングス,プライム（内国株式）,電気機器,4540,6053.33,378.33,12107,0,0,9080,60533,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6754,アンリツ,プライム（内国株式）,電気機器,4375,5833.33,364.58,11667,0,0,8750,58333,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
6758,ソニーグループ,プライム（内国株式）,電気機器,3199,4265.33,266.58,8531,0,0,6398,42653,0,0,10000000,0,completionEstimate,補完,unavailable,36,0,unavailableを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
